City,Country,Latitude,Longitude,Population
junin,ar,-34.583816,-60.943318,76369
la plata,ar,-34.921454,-57.954533,684318
la rioja,ar,-29.411048,-66.850668,178497
libertador general san martin,ar,-23.806443,-64.787574,49273
lincoln,ar,-34.866494,-61.530197,24798
lujan,ar,-34.570278,-59.105,74823
lujan,ar,-33.035471,-68.877823,77625
mar del plata,ar,-38.002278,-57.557539,645771
mendoza,ar,-32.890845,-68.827171,973047
mercedes,ar,-34.651455,-59.430676,49067
mercedes,ar,-29.181858,-58.078951,30649
mercedes,ar,-33.674359,-65.461405,126559
necochea,ar,-38.547259,-58.736753,84969
neuquen,ar,-38.951606,-68.059102,359037
nueve de julio,ar,-35.444374,-60.883131,34717
obera,ar,-27.487059,-55.11994,58939
olavarria,ar,-36.892715,-60.32254,80005
parana,ar,-31.731967,-60.523802,299257
pergamino,ar,-33.889949,-60.573568,86708
posadas,ar,-27.367077,-55.896078,313438
presidencia roque saenz pena,ar,-26.785221,-60.438761,89584
puerto madryn,ar,-42.769201,-65.038513,95547
punta alta,ar,-38.875875,-62.073589,53117
rafaela,ar,-31.250332,-61.486696,84025
rawson,ar,-43.300158,-65.10228,26341
reconquista,ar,-29.15,-59.65,95979
resistencia,ar,-27.46056,-58.983886,406967
rio cuarto,ar,-33.130671,-64.349918,174058
rio gallegos,ar,-51.622613,-69.218127,93234
rio tercero,ar,-32.173008,-64.114055,53396
rivadavia,ar,-33.190509,-68.46081,65641
rosario,ar,-32.946818,-60.639317,1218497
salta,ar,-24.785896,-65.411664,548288
san carlos de bariloche,ar,-41.140293,-71.301369,110044
san francisco,ar,-31.427971,-62.082656,71444
san juan,ar,-31.5375,-68.536389,469958
san lorenzo,ar,-28.133061,-58.767331,47627
san luis,ar,-33.295012,-66.335627,184869
san martin,ar,-33.081031,-68.468138,107554
san nicolas,ar,-33.335784,-60.225233,130705
san pedro,ar,-33.679127,-59.666635,67514
san pedro,ar,-24.231266,-64.866141,43124
san rafael,ar,-34.617717,-68.330066,125033
san ramon de la nueva oran,ar,-23.13398,-64.324645,84504
santa fe,ar,-31.629484,-60.701036,456044
santa rosa,ar,-36.616667,-64.283333,89478
santiago del estero,ar,-27.795112,-64.261489,407636
san vicente,ar,-34.982645,-58.376169,84333
tandil,ar,-37.321674,-59.133164,100127
tartagal,ar,-22.516365,-63.801314,63600
trelew,ar,-43.250075,-65.313295,107883
tres arroyos,ar,-38.373939,-60.279781,47143
tucuman,ar,-26.824144,-65.2226,828402
ushuaia,ar,-54.8,-68.3,58045
veinticinco de mayo,ar,-35.432303,-60.172707,24668
venado tuerto,ar,-33.745564,-61.968845,71794
victoria,ar,-32.619888,-60.153907,25139
viedma,ar,-40.813452,-62.996676,76553
villa carlos paz,ar,-31.424138,-64.497778,61095
villa constitucion,ar,-33.227778,-60.329699,44278
villa maria,ar,-32.407514,-63.240161,92337
zarate,ar,-34.098142,-59.028585,88222
absam,at,47.3,11.5,6594
abtenau,at,47.55,13.35,5829
altach,at,47.35,9.65,6040
althofen,at,47.15,14.233333,4833
altmunster,at,47.9,13.75,9652
amstetten,at,48.116667,14.866667,22832
anif,at,47.75,13.066667,4154
ansfelden,at,48.2,14.283333,14936
arnoldstein,at,46.546111,13.71,6923
asten,at,48.216667,14.4,6517
axams,at,47.233333,11.3,5560
bad aussee,at,47.6,13.783333,5210
baden,at,48.016667,16.233333,24893
bad goisern,at,47.633333,13.616667,7869
bad hall,at,48.033333,14.2,4935
bad hofgastein,at,47.166667,13.1,7002
bad ischl,at,47.716667,13.616667,14267
bad sankt leonhard,at,46.962778,14.791667,4775
bad voslau,at,47.966667,16.2,11013
barnbach,at,46.983333,16.05,4850
bergheim,at,47.833333,13.033333,5031
berndorf,at,47.95,16.1,8796
bischofshofen,at,47.416667,13.216667,10145
bludenz,at,47.149722,9.816667,13904
braunau,at,48.266667,13.033333,16403
bregenz,at,47.5,9.766667,26928
bruck an der leitha,at,48.016667,16.766667,7339
bruck an der mur,at,47.416667,15.283333,13254
deutschlandsberg,at,46.815278,15.222222,8049
deutsch-wagram,at,48.299722,16.566667,7153
dornbirn,at,47.416667,9.733056,43013
ebbs,at,47.633333,12.216667,5088
ebensee,at,47.8,13.766667,8376
ebenthal,at,46.608056,14.364167,7809
eberndorf,at,46.591389,14.643611,6089
ebreichsdorf,at,47.95,16.4,9509
eisenerz,at,47.533333,14.883333,5987
eisenstadt,at,47.85,16.516667,11767
engerwitzdorf,at,48.35,14.45,8510
enns,at,48.2,14.466667,10816
feldbach,at,46.953056,15.888333,4877
feldkirchen an der donau,at,48.35,14.05,5286
feldkirchen,at,46.716667,14.1,14440
feldkirch,at,47.233056,9.6,29446
ferlach,at,46.526944,14.301944,7661
finkenstein,at,46.565556,13.865278,8406
fohnsdorf,at,47.2,14.683333,8203
frankenburg,at,48.066667,13.483333,5162
